condition,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell
anc_sceg-30,"3,353","47,780",902,"160,206,178",97.3%,66.0%,95.7%,95.6%,97.0%,96.2%,75.4%,20.0%,0.1%,55.4%,53.5%,1.7%,29.1%,"6,543","1,688"
anc_sceg-37,"2,212","72,163","1,172","159,624,679",96.7%,80.9%,95.6%,96.0%,97.1%,94.8%,64.1%,22.1%,0.1%,41.8%,39.9%,1.8%,53.7%,"6,658","2,416"
anc_sdc,"2,313","62,604","1,219","144,802,237",97.4%,79.5%,95.3%,94.8%,96.8%,95.7%,78.8%,16.2%,0.0%,62.6%,60.1%,2.1%,47.9%,"6,596","3,119"
anc_sdc-37,"2,767","62,163",902,"172,005,377",97.3%,70.0%,95.6%,95.5%,97.1%,93.9%,75.4%,20.2%,0.1%,55.1%,52.4%,2.5%,28.0%,"6,713","1,429"
anc_sdc-diam,"2,056","70,797",844,"145,558,368",97.4%,59.4%,95.5%,95.7%,97.0%,94.6%,74.4%,20.5%,0.0%,53.9%,51.7%,2.1%,23.9%,"6,577","1,620"
anc_sdc-h2o2,"2,813","56,086","1,362","157,770,938",97.4%,69.4%,95.6%,95.2%,97.0%,93.2%,76.3%,21.5%,0.0%,54.7%,51.9%,2.5%,55.7%,"6,686","4,314"
anc_sdc-kcl,"2,756","61,363","1,348","169,117,717",98.0%,72.2%,95.5%,94.8%,97.0%,96.0%,85.2%,15.6%,0.0%,69.6%,67.3%,2.0%,43.8%,"6,552","3,271"
anc_sdc-kcl-diam,"3,191","45,929","1,303","146,560,030",97.7%,77.5%,95.5%,95.4%,97.0%,95.7%,82.9%,20.8%,0.0%,62.0%,59.4%,2.3%,63.4%,"6,686","2,958"
anc_sdc-kcl-h2o2,"3,844","45,641","1,206","175,444,697",97.4%,69.7%,95.5%,95.0%,96.8%,95.8%,79.5%,19.2%,0.0%,60.2%,57.7%,2.2%,47.9%,"6,663","2,644"
anc_sdc-sorb,"3,123","42,385",939,"132,366,995",97.6%,85.4%,95.7%,95.7%,97.1%,94.9%,78.5%,21.8%,0.0%,56.7%,54.3%,2.2%,67.3%,"6,522","1,701"
anc_ypd,"2,844","52,506",744,"149,325,903",97.1%,73.6%,95.5%,95.8%,96.8%,95.4%,75.9%,15.9%,0.0%,60.0%,57.7%,1.9%,27.3%,"6,377","1,180"
anc_ypd-37,"1,534","92,844",522,"142,422,493",96.5%,74.7%,95.4%,93.3%,96.9%,86.1%,68.5%,19.2%,0.1%,49.3%,46.7%,2.5%,11.0%,"6,526",828
anc_ypd-diam,"1,896","74,063",311,"140,423,280",97.7%,93.5%,95.4%,95.4%,96.9%,95.3%,82.2%,17.3%,0.0%,64.9%,62.2%,2.3%,27.1%,"6,455",416
anc_ypd-h2o2,"2,862","57,219","1,217","163,761,359",97.1%,79.1%,95.6%,95.7%,97.1%,94.3%,76.3%,16.1%,0.0%,60.2%,57.8%,2.0%,45.5%,"6,466","2,506"
anc_ypd-kcl,"2,846","56,019",653,"159,429,544",97.9%,46.1%,95.4%,95.8%,96.9%,96.7%,81.8%,20.1%,0.0%,61.7%,59.5%,2.1%,12.8%,"6,489","1,262"
anc_ypd-kcl-diam,"6,343","22,325",358,"141,604,489",97.3%,61.6%,95.5%,94.6%,97.0%,93.8%,79.6%,20.5%,0.0%,59.0%,56.6%,2.3%,16.3%,"6,626",590
anc_ypd-kcl-h2o2,"5,440","29,930",960,"162,819,061",97.8%,54.0%,95.7%,95.7%,97.1%,95.7%,85.4%,22.2%,0.0%,63.2%,60.7%,2.3%,35.4%,"6,574","1,968"
anc_ypd-sorb,"4,236","30,657",680,"129,860,972",97.6%,41.0%,95.5%,95.6%,97.0%,95.4%,81.7%,19.3%,0.0%,62.4%,60.3%,1.9%,22.2%,"6,481","1,286"
anc_ypeg-30,"3,659","43,650","1,078","159,716,126",97.7%,67.4%,95.4%,95.1%,96.9%,96.0%,81.0%,20.8%,0.0%,60.2%,58.3%,1.7%,42.3%,"6,611","2,178"
anc_ypeg-37,"2,260","50,861",675,"114,946,605",96.5%,75.6%,95.5%,95.3%,97.0%,89.3%,65.7%,22.2%,0.1%,43.4%,40.9%,2.4%,28.0%,"6,596","1,113"
evo_sceg-30,"3,081","44,713","1,008","137,762,013",95.8%,75.8%,95.1%,96.8%,96.8%,96.1%,73.1%,18.4%,0.1%,54.7%,52.6%,1.9%,53.1%,"6,544","2,092"
evo_sdc,"3,114","51,173","1,106","159,353,381",97.7%,61.1%,95.2%,96.9%,97.0%,96.7%,84.0%,19.7%,0.0%,64.3%,61.8%,2.3%,39.9%,"6,617","2,368"
evo_sdc-37,"3,623","45,719","1,181","165,638,151",98.2%,55.1%,95.1%,97.0%,96.9%,96.6%,87.3%,18.4%,0.0%,68.8%,66.4%,2.2%,43.0%,"6,674","2,667"
evo_sdc-diam,"2,663","62,953","1,108","167,644,958",96.9%,54.3%,95.3%,97.0%,97.0%,95.9%,80.6%,27.5%,0.0%,53.0%,50.4%,2.5%,37.1%,"6,642","2,578"
evo_sdc-h2o2,"4,040","39,206","1,061","158,392,490",97.9%,58.2%,95.4%,97.0%,97.0%,96.8%,88.6%,24.4%,0.0%,64.2%,61.4%,2.5%,38.5%,"6,565","2,030"
evo_sdc-kcl,"3,571","49,660",783,"177,334,769",98.1%,48.0%,95.4%,97.0%,96.9%,97.1%,89.5%,26.9%,0.0%,62.6%,59.8%,2.6%,25.6%,"6,545","1,607"
evo_sdc-kcl-diam,"3,421","48,031",670,"164,314,222",98.2%,52.8%,95.2%,97.0%,96.8%,97.3%,89.4%,21.9%,0.0%,67.5%,64.8%,2.4%,24.5%,"6,442","1,312"
evo_sdc-kcl-h2o2,"3,573","39,593",708,"141,466,826",97.3%,49.6%,94.9%,96.8%,96.9%,97.0%,82.1%,15.1%,0.0%,66.9%,65.1%,1.6%,26.4%,"6,564","1,379"
evo_sdc-sorb,"3,792","39,287",832,"148,976,685",97.0%,53.0%,95.2%,97.0%,97.0%,96.4%,79.4%,19.3%,0.0%,60.0%,57.2%,2.6%,29.3%,"6,621","1,426"
evo_ypd,"2,997","45,597","1,011","136,655,637",96.4%,50.1%,95.1%,96.9%,96.9%,97.0%,78.4%,14.1%,0.0%,64.2%,61.9%,2.0%,32.5%,"6,562","1,924"
evo_ypd-37,"4,127","43,385",863,"179,050,807",98.2%,45.4%,95.6%,97.0%,96.9%,96.1%,88.3%,25.9%,0.1%,62.3%,59.3%,2.9%,22.1%,"6,781","1,705"
evo_ypd-diam,"2,842","49,705",670,"141,261,800",98.2%,43.7%,94.7%,96.6%,96.9%,96.6%,87.2%,15.9%,0.0%,71.3%,69.8%,1.3%,13.2%,"6,418","1,367"
evo_ypd-h2o2,"3,090","50,736",718,"156,773,197",97.4%,47.4%,95.1%,97.0%,96.9%,96.2%,81.8%,17.2%,0.0%,64.5%,62.3%,2.1%,23.1%,"6,571","1,610"
evo_ypd-kcl,"4,165","33,731",570,"140,489,522",97.2%,38.2%,94.9%,97.0%,96.9%,97.1%,82.7%,13.9%,0.0%,68.7%,66.8%,1.7%,14.1%,"6,359","1,084"
evo_ypd-kcl-diam,"2,747","60,809",594,"167,041,968",98.4%,44.8%,95.1%,97.1%,97.0%,97.4%,89.1%,16.5%,0.0%,72.5%,70.7%,1.7%,8.7%,"6,213","1,508"
evo_ypd-kcl-h2o2,"3,254","45,127",598,"146,843,272",97.4%,42.5%,95.2%,96.8%,96.9%,96.8%,82.2%,14.7%,0.0%,67.5%,65.8%,1.5%,11.6%,"6,351","1,322"
evo_ypd-sorb,"4,773","24,803",637,"118,386,776",96.7%,36.9%,94.8%,96.9%,96.8%,96.9%,78.6%,14.0%,0.0%,64.5%,62.1%,2.1%,16.2%,"6,550","1,084"
evo_ypeg-30,"3,779","45,361",799,"171,420,379",98.0%,61.4%,95.2%,97.0%,96.9%,97.6%,88.5%,19.7%,0.1%,68.8%,66.9%,1.7%,30.3%,"6,533","1,518"
